No.,LLM Models,size,exec,OK/NG,notes
1, llama3.1:405b                            , 243 GB     ,,,
2, qwen2.5-coder:32b                        , 19 GB      ,✓,OK,23.5s avg - Acceptable
3, deepseek-r1:70b                          , 42 GB      ,✓,NG,<think> tag exposes reasoning
4, deepseek-r1:32b                          , 19 GB      ,✓,NG,<think> tag exposes reasoning
5, command-r-plus:latest                    , 59 GB      ,✓,WARN,117s avg - Very slow but usable
6, command-r:35b                            , 18 GB      ,✓,NG,<think> tag exposes reasoning
7, mistral-large:latest                     , 73 GB      ,✓,NG,<think> tag + 140s avg
8, gemma2:27b                               , 15 GB      ,✓,OK,Outputs only <think> tag
9, llama3:70b                               , 39 GB      ,✓,OK,71.7s avg - Acceptable
10, llama3.1:70b                             , 42 GB      ,,,
11, qwen2.5:72b                              , 47 GB      ,,,
12, qwen2.5-coder:7b                         , 4.7 GB     ,,,
13, deepseek-r1:14b                          , 9.0 GB     ,,NG,Likely same <think> issue as 70b/32b
14, deepseek-r1:8b                           , 5.2 GB     ,,NG,Likely same <think> issue as 70b/32b
15, deepseek-r1:7b                           , 4.7 GB     ,,NG,Likely same <think> issue as 70b/32b
16, phi3:medium                              , 7.9 GB     ,,,
17, mistral-nemo:latest                      , 7.1 GB     ,,,
18, mistral:7b                               , 4.4 GB     ,,,
19, gemma2:9b                                , 5.4 GB     ,,,
20, dsasai/llama3-elyza-jp-8b:latest         , 4.9 GB     ,✓,OK,
21, microai/suzume-llama3:latest             , 4.9 GB     ,,,
22, llama3:8b                                , 4.7 GB     ,,,
23, llama3.1:8b                              , 4.9 GB     ,,,
24, qwen2.5:7b                               , 4.7 GB     ,,,
25, deepseek-r1:1.5b                         , 1.1 GB     ,,NG,Likely same <think> issue as 70b/32b
26, phi3:mini                                , 2.2 GB     ,,,
27, schroneko/gemma-2-2b-jpn-it:latest       , 2.8 GB     ,,,
28, llama3.2:3b                              , 2.0 GB     ,,,
29, llama3.2:1b                              , 1.3 GB     ,,,
30, qwen2.5:1.5b                             , 986 MB     ,,,
31, qwen2.5:0.5b                             , 397 MB     ,,,
32, qwen2.5:3b                               , 1.9 GB     ,,,
33, qwen2.5:32b                              , 19 GB      ,,,
34, elyza:botan_custom                       , 4.9 GB     ,,,
35, elyza:botan_basic                        , 4.9 GB     ,,,
36, elyza:botan_v2                           , 4.9 GB     ,,,
37, elyza:botan_chat                         , 4.9 GB     ,,,
38, elyza:botan_emotion                      , 4.9 GB     ,,,
39, elyza:botan_balanced                     , 4.9 GB     ,,,
40, elyza:botan_natural                      , 4.9 GB     ,,,
41, elyza:botan_v1                           , 4.9 GB     ,,,
42, elyza:botan_v3                           , 4.9 GB     ,,,
43, elyza:botan                              , 4.9 GB     ,,,
44, elyza:jp8b                               , 4.9 GB     ,,,
45, qwen2.5:14b                              , 9.0 GB     ,,,
46, gemma2:2b                                , 1.6 GB     ,,,
